,DateTime,Temperature (Celcius),Total Precipitation,Public_Holiday,School_Holiday,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Spectacles,Wash_Item,Washer_No,Dryer_No,Times_Of_Day,Age_Group,Day,Total Customers,Rain_Condition
0,10/19/2015 20:17,32.93,0,No,No,malay,male,moderate,28,yes,young,big,Primary,casual,Primary,short sleeve,BW,short,no,clothes,3,10,Night,20-29,Monday,7,None
1,10/19/2015 20:28,32.93,0,No,No,indian,male,thin,32,no,nokids,big,Primary,casual,BW,short sleeve,Primary,long,no,clothes,6,9,Night,30-39,Monday,7,None
2,10/19/2015 20:58,32.93,0,No,No,malay,female,moderate,30,no,nokids,big,Primary,casual,Primary,short sleeve,BW,long,no,clothes,4,10,Night,30-39,Monday,7,None
3,10/19/2015 21:31,32.93,0,No,No,indian,male,thin,51,no,nokids,big,Primary,casual,BW,short sleeve,Primary,short,no,clothes,5,9,Night,50-59,Monday,7,None
4,10/19/2015 21:40,32.93,0,No,No,indian,male,moderate,34,no,nokids,big,Primary,casual,Primary,short sleeve,BW,long,no,clothes,3,9,Night,30-39,Monday,7,None
5,10/19/2015 23:45,32.93,0,No,No,indian,male,fat,50,no,nokids,small,Primary,casual,Others,short sleeve,Primary,long,no,clothes,4,8,Night,50-59,Monday,7,None
6,10/19/2015 23:53,32.93,0,No,No,indian,female,fat,45,no,nokids,big,Primary,traditional,Primary,short sleeve,BW,long,no,clothes,5,10,Night,40-49,Monday,7,None
7,10/20/2015 0:24,32.93,0,No,No,indian,male,thin,49,no,nokids,big,Primary,casual,BW,short sleeve,Others,long,no,clothes,3,9,Midnight,50-59,Tuesday,60,None
8,10/20/2015 0:45,32.93,0,No,No,indian,male,thin,30,no,nokids,small,Secondary,casual,BW,short sleeve,BW,short,no,clothes,6,10,Midnight,30-39,Tuesday,60,None
9,10/20/2015 1:17,32.93,0,No,No,chinese,male,moderate,33,no,nokids,small,Primary,casual,BW,short sleeve,Primary,short,no,clothes,5,7,Midnight,30-39,Tuesday,60,None
10,10/20/2015 3:07,32.93,0,No,No,foreigner ,female,fat,45,no,nokids,big,Primary,casual,BW,short sleeve,Others,short,no,clothes,4,8,Midnight,40-49,Tuesday,60,None
11,10/20/2015 7:23,32.93,0,No,No,indian,male,moderate,37,no,nokids,big,Primary,casual,Others,short sleeve,Primary,long,no,clothes,4,8,Dawn,30-39,Tuesday,60,None
12,10/20/2015 7:23,32.93,0,No,No,malay,female,moderate,42.18272841,no,nokids,big,Primary,casual,Primary,long sleeve,Primary,long,no,clothes,3,7,Dawn,40-49,Tuesday,60,None
13,10/20/2015 9:06,32.93,0,No,No,malay,male,moderate,32,no,nokids,big,Primary,casual,Primary,short sleeve,BW,long,yes,clothes,3,9,Morning,30-39,Tuesday,60,None
14,10/20/2015 10:05,32.93,0,No,No,malay,female,moderate,55,yes,young,big,Primary,casual,Others,long sleeve,Others,long,yes,clothes,3,8,Morning,50-59,Tuesday,60,None
15,10/20/2015 10:41,32.93,0,No,No,indian,male,thin,33,no,nokids,big,Primary,formal,Primary,long sleeve,Others,long,no,clothes,5,9,Morning,30-39,Tuesday,60,None
